ExerciseMetabolism_TotalWatts;Exercise-Metabolism.TotalWatts
fat_BloodFlow;Fat-Flow.BloodFlow
Fat_BloodFlow;Fat-Flow.BloodFlow
fat_cLactate;Fat-Lactate.[Lac-(mEq/L)]
fat_CO2FromMetabolism;Fat-CO2.OutflowBase
Fat_Function_Failed;Fat-Function.Failed
fat_InterstitialWater;Fat-Size.IFV
fat_LactateFromMetabolism;Fat-Lactate.Outflux
Fat_LiquidVol;Fat-Size.LiquidVol
fat_O2Use;Fat-Flow.O2Use
Fat_PO2;Fat-Flow.PO2
Fat_StructureEffect;Fat-Structure.Effect
fat_T;HeatCore.Temp(C)
FatFunctionEffect;Fat-Function.Effect
FHbF;FHbF
FMetHb;FMetHb
FurosemidePool_Furosemide_conc;FurosemidePool.[Furosemide]
FurosemidePool_Loss;FurosemidePool.Loss
Gravity_Gz;Gravity.Gz
GangliaGeneral_NA;GangliaGeneral.NA(Hz)
GangliaKidney_NA;GangliaKidney.NA(Hz)
GILumenDiarrhea_KLoss;GILumenDiarrhea.K+Loss
GILumenDiarrhea_NaLoss;GILumenDiarrhea.Na+Loss
GILumenPotassium_Mass;GILumenPotassium.Mass
GILumenSodium_Mass;GILumenSodium.Mass
GILumenVolume_Absorption;GILumenVolume.Absorption
GILumenVolume_Intake;GILumenVolume.Intake
GILumenVolume_Mass;GILumenVolume.Mass
GILumenVomitus_ClLoss;GILumenVomitus.Cl-Loss
GITract_BloodFlow;GITract-Flow.BloodFlow
GITract_cLactate;GITract-Lactate.[Lac-(mEq/L)]
GITract_CO2FromMetabolism;GITract-CO2.OutflowBase
GITract_Function_Failed;GITract-Function.Failed
GITract_InterstitialWater;GITract-Size.IFV
GITract_LactateFromMetabolism;GITract-Lactate.Outflux
GITract_LiquidVol;GITract-Size.LiquidVol
GITract_O2Use;GITract-Flow.O2Use
GITract_PO2;GITract-Flow.PO2
GITract_StructureEffect;GITract-Structure.Effect
GITract_T;HeatCore.Temp(C)
GITractFunctionEffect;GITract-Function.Effect
Glomerulus_GFR;GlomerulusFiltrate.GFR
GlomerulusBloodPressure;GlomerulusFiltrate.Pressure
GlomerulusFiltrate_GFR;GlomerulusFiltrate.GFR
Glucagon_conc;GlucagonPool.[Glucagon]
Glucose;GlucosePool.[Glucose(mG/dL)]
GlucoseECF_Osmoles;GlucosePool.Osmoles
HeartVentricleRate;Heart-Ventricles.Rate
HeatCore_Temp;HeatCore.Temp(C)
HeatInsensibleLung_H2O;HeatInsensibleLung.H2O
HeatInsensibleSkin_H2O;HeatInsensibleSkin.H2O
HeatShivering_Cals;HeatShivering.Cals
Hemorrhage_ClRate;Hemorrhage.ClRate
Hemorrhage_KRate;Hemorrhage.KRate
Hemorrhage_NaRate;Hemorrhage.NaRate
Hemorrhage_PlasmaRate;Hemorrhage.PlasmaRate
Hemorrhage_ProteinRate;Hemorrhage.ProteinRate
Hemorrhage_RBCRate;Hemorrhage.RBCRate
HepaticArty_BloodFlow;HepaticArty.Flow
HypothalamusShivering_NerveActivity;HypothalamusShivering.NerveActivity
HypothalamusSkinFlow_NervesActivity;HypothalamusSkinFlow.NerveActivity
HypothalamusTSH_TemperatureEffect;HypothalamusTSH.TemperatureEffect
ICFV_Vol;ICFV.Vol
Insulin;InsulinPool.[Insulin]
IVDrip_ClRate;IVDrip.ClRate
IVDrip_H2ORate;IVDrip.H2ORate
IVDrip_KRate;IVDrip.KRate
IVDrip_NaRate;IVDrip.NaRate
IVDrip_ProteinRate;IVDrip.ProteinRate
KA_Change;KAPool.Change
KA_Change_mmol_per_min;KAPool.Change[mMol/min]
KAPool_conc_per_liter;KAPool.[KA(mMol/L)]
KAPool_Osmoles;KAPool.Osmoles
KAPool;KAPool.[KA(mG/dL)]
KCell_conc;KCell.[K+(mEq/L)]
Kidney_Alpha_NA;Kidney-Alpha.NA
kidney_BloodFlow;Kidney-Flow.BloodFlow
Kidney_BloodFlow;Kidney-Flow.BloodFlow
kidney_cLactate;Kidney-Lactate.[Lac-(mEq/L)]
kidney_CO2FromMetabolism;Kidney-CO2.OutflowBase
Kidney_Function_Failed;Kidney-Function.Failed
kidney_InterstitialWater;Kidney-Size.IFV
kidney_LactateFromMetabolism;Kidney-Lactate.Outflux
Kidney_LiquidVol;Kidney-Size.LiquidVol
Kidney_NephronCount_Filtering_xNormal;Kidney-NephronCount.Filtering(xNormal)
Kidney_NephronCount_Total_xNormal;Kidney-NephronCount.Total(xNormal)
kidney_O2Use;Kidney-O2.O2Use
Kidney_PO2;Kidney-O2.VeinPO2
Kidney_StructureEffect;Kidney-Structure.Effect
kidney_T;HeatCore.Temp(C)
KidneyAlpha_PT_NA;Kidney-Alpha.PT_NA
KidneyFunction_Effect;Kidney-Function.Effect
KidneyFunctionEffect;Kidney-Function.Effect
KidneyO2_TubulePO2;Kidney-O2.TubulePO2
KidneyPlasmaFlow;Kidney-Flow.PlasmaFlow
KPool_per_liter;KPool.[K+(mEq/L)]
LacPool_Lac_mEq_per_litre;LacPool.[Lac-(mEq/L)]
LacPool_Mass_mEq;LacPool.Mass
LactateFromTissues;LacPool.Change
leftAtrium_TMP;LeftAtrium.TMP
LeftAtrium_TMP;LeftAtrium.TMP
leftHeart_BloodFlow;LeftHeart-Flow.BloodFlow
LeftHeart_BloodFlow;LeftHeart-Flow.BloodFlow
leftHeart_cLactate;LeftHeart-Lactate.[Lac-(mEq/L)]
leftHeart_CO2FromMetabolism;LeftHeart-CO2.OutflowBase
LeftHeart_Function_Failed;LeftHeart-Function.Failed
leftHeart_InterstitialWater;LeftHeart-Size.IFV
leftHeart_LactateFromMetabolism;LeftHeart-Lactate.Outflux
LeftHeart_LiquidVol;LeftHeart-Size.LiquidVol
LeftHeart_O2Need;LeftHeart-Metabolism.O2Need
leftHeart_O2Use;LeftHeart-Flow.O2Use
LeftHeart_PO2;LeftHeart-Flow.PO2
LeftHeart_StructureEffect;LeftHeart-Structure.Effect
leftHeart_T;HeatCore.Temp(C)
LegMusclePump_Effect;LegMusclePump.Effect
Leptin;LeptinPool.[Leptin(nG/mL)]
LH_H2O_Outflow;LH_H2O.Outflow
LH_Na_FractReab;LH_Na.FractReab
LH_Na_Reab;LH_Na.Reab
LipidDeposits_Mass;LipidDeposits.Mass
Liver_BloodFlow;Liver-O2.BloodFlow
liver_cLactate;Liver-Lactate.[Lac-(mEq/L)]
liver_CO2FromMetabolism;Liver-CO2.OutflowBase
Liver_Function_Failed;Liver-Function.Failed
liver_GlucoseToCellStorageFlow;LM_Glycogen.Gain
liver_InterstitialWater;Liver-Size.IFV
liver_LactateFromMetabolism;Liver-Lactate.Outflux
Liver_LiquidVol;Liver-Size.LiquidVol
liver_O2Use;Liver-O2.O2Use
Liver_PO2;Liver-O2.PO2
Liver_StructureEffect;Liver-Structure.Effect
liver_T;HeatCore.Temp(C)
LiverFunctionEffect;Liver-Function.Effect
LM_Insulin_InsulinDelayed;LM_Insulin.[InsulinDelayed]
LowerTorsoArtyHeight;Hydrostatics.LowerTorsoCM
LowerTorsoVeinHeight;Hydrostatics.LowerTorsoCM
LT_InterstitialProtein_Mass;LT_InterstitialProtein.Mass
LT_InterstitialWater_Vol;LT_InterstitialWater.Vol
LT_LymphFlow;LT_LymphWater.Rate
MD_Na;MD_Na.[Na+(mEq/L)]
Medulla_Volume;Medulla.Volume
MedullaNa_conc;MedullaNa.[Na+(mEq/L)]
MedullaNa_conc;MedullaNa.[Na+]
MedullaNa_Osmolarity;MedullaNa.Osmolarity
MedullaUrea_Osmolarity;MedullaUrea.Osmolarity
MetabolicH2O_Rate;MetabolicH2O.Rate
MT_InterstitialProtein_Mass;MT_InterstitialProtein.Mass
MT_InterstitialWater_Vol;MT_InterstitialWater.Vol
MT_LymphFlow;MT_LymphWater.Rate
NephronADH_conc;NephronADH.[ADH]
NephronADH;NephronADH.[ADH]
NephronAldo_conc_in_nG_per_dl;NephronAldo.[Aldo(nG/dL)]
NephronANP_Log10Conc;NephronANP.Log10Conc
NephroneIFP_Pressure;NephronIFP.Pressure
O2Artys_pO2;PO2Artys.Pressure
OrganFlow_SplanchnicFlow;OrganFlow.SplanchnicFlow
OsmCell_Electrolytes;OsmCell.Electrolytes
OsmCell_NonElectrolytes;OsmCell.Non-Electrolytes
OsmECFV_Electrolytes;OsmECFV.Electrolytes
OsmECFV_NonElectrolytes;OsmECFV.Non-Electrolytes
Osmreceptors;OsmBody.[Osm]-Osmoreceptors
otherTissue_BloodFlow;OtherTissue-Flow.BloodFlow
OtherTissue_BloodFlow;OtherTissue-Flow.BloodFlow
otherTissue_cLactate;OtherTissue-Lactate.[Lac-(mEq/L)]
otherTissue_CO2FromMetabolism;OtherTissue-CO2.OutflowBase
OtherTissue_Function_Failed;OtherTissue-Function.Failed
otherTissue_InterstitialWater;OtherTissue-Size.IFV
otherTissue_LactateFromMetabolism;OtherTissue-Lactate.Outflux
OtherTissue_LiquidVol;OtherTissue-Size.LiquidVol
otherTissue_O2Use;OtherTissue-Flow.O2Use
OtherTissue_PO2;OtherTissue-Flow.PO2
OtherTissue_StructureEffect;OtherTissue-Structure.Effect
otherTissue_T;HeatCore.Temp(C)
OtherTissueFunctionEffect;OtherTissue-Function.Effect
pCO;pCO
Pericardium_Pressure;Pericardium-Cavity.Pressure
PeritoneumSpace_Gain;PeritoneumSpace.Gain
PeritoneumSpace_Loss;PeritoneumSpace.Loss
PeritoneumSpace_Vol;PeritoneumSpace.Volume
PlasmaProtein_Mass;PlasmaProtein.Mass
PlasmaVol_Vol;PlasmaVol.Vol
PlasmaVol;PlasmaVol.Vol
PortalVein_BloodFlow;PortalVein.BloodFlow
PortalVein_Glucagon;PortalVein-Glucagon.[Glucagon]
PortalVein_Insulin;PortalVein-Insulin.[Insulin]
PortalVein_PlasmaFlow;PortalVein.PlasmaFlow
PotasiumToCells;KCell.Change
PT_Na_FractReab;PT_Na.FractReab
PT_Na_Reab;PT_Na.Reab
PulmCapys_Pressure;PulmCapys.Pressure
RBCH2O_Vol;RBCH2O.Vol
RespiratoryCenter_MotorNerveActivity;RespiratoryCenter-Output.MotorNerveActivity
RespiratoryCenter_RespRate;RespiratoryCenter-Output.Rate
respiratoryMuscle_BloodFlow;RespiratoryMuscle-Flow.BloodFlow
RespiratoryMuscle_BloodFlow;RespiratoryMuscle-Flow.BloodFlow
respiratoryMuscle_cLactate;RespiratoryMuscle-Lactate.[Lac-(mEq/L)]
respiratoryMuscle_CO2FromMetabolism;RespiratoryMuscle-CO2.OutflowBase
RespiratoryMuscle_Function_Failed;RespiratoryMuscle-Function.Failed
respiratoryMuscle_GlucoseToCellStorageFlow;RespiratoryMuscle-Glycogen.Synthesis
respiratoryMuscle_InterstitialWater;RespiratoryMuscle-Size.IFV
respiratoryMuscle_LactateFromMetabolism;RespiratoryMuscle-Lactate.Outflux
RespiratoryMuscle_LiquidVol;RespiratoryMuscle-Size.LiquidVol
RespiratoryMuscle_O2Need;RespiratoryMuscle-Metabolism.O2Need
respiratoryMuscle_O2Use;RespiratoryMuscle-Flow.O2Use
RespiratoryMuscle_PO2;RespiratoryMuscle-Flow.PO2
RespiratoryMuscle_StructureEffect;RespiratoryMuscle-Structure.Effect
respiratoryMuscle_T;HeatCore.Temp(C)
RespiratoryMuscleFunctionEffect;RespiratoryMuscle-Function.Effect
RightAtrium_Pressure;RightAtrium.Pressure
rightAtrium_TMP;RightAtrium.TMP
RightAtrium_TMP;RightAtrium.TMP
rightHeart_BloodFlow;RightHeart-Flow.BloodFlow
RightHeart_BloodFlow;RightHeart-Flow.BloodFlow
rightHeart_cLactate;RightHeart-Lactate.[Lac-(mEq/L)]
rightHeart_CO2FromMetabolism;RightHeart-CO2.OutflowBase
RightHeart_Function_Failed;RightHeart-Function.Failed
rightHeart_InterstitialWater;RightHeart-Size.IFV
rightHeart_LactateFromMetabolism;RightHeart-Lactate.Outflux
RightHeart_LiquidVol;RightHeart-Size.LiquidVol
rightHeart_O2Use;RightHeart-Flow.O2Use
RightHeart_PO2;RightHeart-Flow.PO2
RightHeart_StructureEffect;RightHeart-Structure.Effect
rightHeart_T;HeatCore.Temp(C)
skeletalMuscle_BloodFlow;SkeletalMuscle-Flow.BloodFlow
SkeletalMuscle_BloodFlow;SkeletalMuscle-Flow.BloodFlow
skeletalMuscle_cLactate;SkeletalMuscle-Lactate.[Lac-(mEq/L)]
skeletalMuscle_CO2FromMetabolism;SkeletalMuscle-CO2.OutflowBase
SkeletalMuscle_Function_Failed;SkeletalMuscle-Function.Failed
skeletalMuscle_GlucoseToCellStorageFlow;SkeletalMuscle-Glycogen.Synthesis
skeletalMuscle_InterstitialWater;SkeletalMuscle-Size.IFV
skeletalMuscle_LactateFromMetabolism;SkeletalMuscle-Lactate.Outflux
SkeletalMuscle_LiquidVol;SkeletalMuscle-Size.LiquidVol
SkeletalMuscle_O2Need;SkeletalMuscle-Metabolism.O2Need
skeletalMuscle_O2Use;SkeletalMuscle-Flow.O2Use
skeletalMuscle_pH_intracellular;SkeletalMuscle-Ph.Ph
SkeletalMuscle_PO2;SkeletalMuscle-Flow.PO2
skeletalMuscle_SizeMass;SkeletalMuscle-Size.Mass
SkeletalMuscle_StructureEffect;SkeletalMuscle-Structure.Effect
skeletalMuscle_T;HeatSkeletalMuscle.Temp(C)
skin_BloodFlow;Skin-Flow.BloodFlow
Skin_BloodFlow;Skin-Flow.BloodFlow
skin_cLactate;Skin-Lactate.[Lac-(mEq/L)]
skin_CO2FromMetabolism;Skin-CO2.OutflowBase
Skin_Function_Failed;Skin-Function.Failed
skin_InterstitialWater;Skin-Size.IFV
skin_LactateFromMetabolism;Skin-Lactate.Outflux
Skin_LiquidVol;Skin-Size.LiquidVol
skin_O2Use;Skin-Flow.O2Use
Skin_PO2;Skin-Flow.PO2
Skin_StructureEffect;Skin-Structure.Effect
skin_T;HeatSkin.Temp(C)
skinSizeMass;Skin-Size.Mass
SplanchnicCirculation_DeoxygenatedBloodVolume;SplanchnicVeins.Vol
SplanchnicVeins_Pressure;SplanchnicVeins.Pressure
Status_Posture;Status.Posture
SweatDuct_ClRate;SweatDuct.ClOutflow
SweatDuct_H2OOutflow;SweatDuct.H2OOutflow
SweatDuct_KRate;SweatDuct.KOutflow
SweatDuct_NaRate;SweatDuct.NaOutflow
SympsCNS_PituitaryNA;SympsCNS.PituitaryNA
SystemicArtys_Pressure;SystemicArtys.Pressure
TGF_Vascular_Signal;TGF-Vascular.Signal
ThiazidePool_Thiazide_conc;ThiazidePool.[Thiazide]
Thorax_AvePressure;Thorax.AvePressure
Thorax_LungInflation;Thorax.LungInflation
ThyroidEffect;Thyroid.Effect
Transfusion_ClRate;Transfusion.ClRate
Transfusion_KRate;Transfusion.KRate
Transfusion_NaRate;Transfusion.NaRate
Transfusion_PlasmaRate;Transfusion.PlasmaRate
Transfusion_ProteinRate;Transfusion.ProteinRate
Transfusion_RBCRate;Transfusion.RBCRate
UreaECF_Osmoles;UreaPool.Osmoles
UreaICF_Osmoles;UreaCell.Osmoles
Urine_pH;Urine_pH
UT_InterstitialProtein_Mass;UT_InterstitialProtein.Mass
UT_InterstitialWater_Vol;UT_InterstitialWater.Vol
UT_LymphFlow;UT_LymphWater.Rate
VasaRecta_Outflow;VasaRecta.Outflow
VeinsVol;VeinsVol.Vol
WeightCore;Weight.Core
CellProtein_Mass;CellProtein.Mass
GITract_pH_intracellular;GITract-Ph.Ph
bone_pH_intracellular;Bone-Ph.Ph
brain_pH_intracellular;Brain-Ph.Ph
fat_pH_intracellular;Fat-Ph.Ph
kidney_pH_intracellular;Kidney-Ph.Ph
